"Fitness","HAVE_CRYPTO","HAVE_HASH","HAVE_REPLICATION","HAVE_VERIFY","HAVE_SEQUENCE","HAVE_STATISTICS","DIAGNOSTIC","PS1K","PS4K","PS8K","PS16K","PS32K","CS32MB","CS16MB","CS64MB","CS512MB"
"6.705165060807764","0","1","1","1","1","1","0","0","0","0","0","0","0","1","0","0"
"6.705165060807764","0","0","0","0","0","0","0","1","0","1","1","1","0","1","1","0"
"6.705165060807764","1","0","1","0","0","0","0","1","0","1","0","0","1","0","1","0"
"6.705165060807764","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","1"
"6.705165060807764","0","1","0","0","0","1","0","1","1","1","0","0","0","1","0","0"
"6.705165060807764","0","1","0","0","0","0","0","1","1","0","1","1","0","1","0","0"
"6.705165060807764","0","0","1","0","0","1","1","0","1","0","1","0","1","0","0","0"
"6.705165060807764","0","1","1","0","0","0","0","1","1","1","0","0","0","1","0","0"
"6.705165060807764","0","0","1","0","0","0","0","1","1","0","1","0","1","1","0","0"
"6.705165060807764","0","0","0","0","1","1","0","1","0","0","1","1","0","0","1","0"
